Manufacturer name,total_products,bad_quality_count,bad_quality_percentage
BOSCH,140,30,21.43
GUSTAV KLAUKE GMBH,40,4,10.0
FEIN,100,0,0.0
FISCHER,5,0,0.0
ROTHENBERGER,23,0,0.0
